id,title_x,slug,status,language,runtime,timestamp,title_y,difficulty,topics
1853674747,Increasing Triplet Subsequence,increasing-triplet-subsequence,Accepted,python3,14 ms,1765537402,Increasing Triplet Subsequence,MEDIUM,"array,greedy"
1853673986,Increasing Triplet Subsequence,increasing-triplet-subsequence,Runtime Error,python3,,1765537319,Increasing Triplet Subsequence,MEDIUM,"array,greedy"
1852887307,The Number of Employees Which Report to Each Employee,the-number-of-employees-which-report-to-each-employee,Accepted,mysql,608 ms,1765456302,The Number of Employees Which Report to Each Employee,EASY,database
1851978553,Top Travellers,top-travellers,Accepted,mysql,736 ms,1765368197,Top Travellers,EASY,database
1851030401,Complete Prime Number,complete-prime-number,Accepted,python3,0 ms,1765279659,Complete Prime Number,MEDIUM,"math,enumeration,number-theory"
1851008442,Number of Zero-Filled Subarrays,number-of-zero-filled-subarrays,Accepted,python3,26 ms,1765277632,Number of Zero-Filled Subarrays,MEDIUM,"array,math"
1850201687,Count Square Sum Triples,count-square-sum-triples,Accepted,python3,147 ms,1765202815,Count Square Sum Triples,EASY,"math,enumeration"
1849357796,Count Odd Numbers in an Interval Range,count-odd-numbers-in-an-interval-range,Accepted,python3,41 ms,1765118596,Count Odd Numbers in an Interval Range,EASY,math
1848385117,Rotate Array,rotate-array,Accepted,python3,11 ms,1765031781,Rotate Array,MEDIUM,"array,math,two-pointers"
1848295800,Count Partitions With Max-Min Difference at Most K,count-partitions-with-max-min-difference-at-most-k,Accepted,python3,467 ms,1765023103,Count Partitions With Max-Min Difference at Most K,MEDIUM,"array,dynamic-programming,queue,sliding-window,prefix-sum,monotonic-queue"
1847577459,Customers Who Bought All Products,customers-who-bought-all-products,Accepted,mysql,524 ms,1764935932,Customers Who Bought All Products,MEDIUM,database
1847535694,Count Partitions with Even Sum Difference,count-partitions-with-even-sum-difference,Accepted,python3,0 ms,1764931346,Count Partitions with Even Sum Difference,EASY,"array,math,prefix-sum"
1847534131,Count Partitions with Even Sum Difference,count-partitions-with-even-sum-difference,Accepted,python3,0 ms,1764931182,Count Partitions with Even Sum Difference,EASY,"array,math,prefix-sum"
1845643483,Biggest Single Number,biggest-single-number,Accepted,mysql,404 ms,1764741875,Biggest Single Number,EASY,database
1845626744,Find Followers Count,find-followers-count,Accepted,mysql,568 ms,1764740530,Find Followers Count,EASY,database
1845626223,Find Followers Count,find-followers-count,Runtime Error,mysql,,1764740488,Find Followers Count,EASY,database
1845625520,Find Followers Count,find-followers-count,Wrong Answer,mysql,,1764740426,Find Followers Count,EASY,database
1845625380,Find Followers Count,find-followers-count,Wrong Answer,mysql,,1764740413,Find Followers Count,EASY,database
1844846886,Classes With at Least 5 Students,classes-with-at-least-5-students,Accepted,mysql,345 ms,1764663896,Classes With at Least 5 Students,EASY,database
1844806877,Product Sales Analysis III,product-sales-analysis-iii,Accepted,mysql,707 ms,1764660080,Product Sales Analysis III,MEDIUM,database
1844806472,Product Sales Analysis III,product-sales-analysis-iii,Wrong Answer,mysql,,1764660048,Product Sales Analysis III,MEDIUM,database
1844801021,Product Sales Analysis III,product-sales-analysis-iii,Wrong Answer,mysql,,1764659566,Product Sales Analysis III,MEDIUM,database
1844800523,Product Sales Analysis III,product-sales-analysis-iii,Wrong Answer,mysql,,1764659526,Product Sales Analysis III,MEDIUM,database
1844782967,User Activity for the Past 30 Days I,user-activity-for-the-past-30-days-i,Accepted,mysql,484 ms,1764658157,User Activity for the Past 30 Days I,EASY,database
1844749655,Number of Unique Subjects Taught by Each Teacher,number-of-unique-subjects-taught-by-each-teacher,Accepted,mysql,525 ms,1764655674,Number of Unique Subjects Taught by Each Teacher,EASY,database
1844740835,Game Play Analysis IV,game-play-analysis-iv,Accepted,mysql,519 ms,1764655013,Game Play Analysis IV,MEDIUM,database
1844738737,Game Play Analysis IV,game-play-analysis-iv,Accepted,mysql,511 ms,1764654854,Game Play Analysis IV,MEDIUM,database
1844736677,Game Play Analysis IV,game-play-analysis-iv,Accepted,mysql,493 ms,1764654696,Game Play Analysis IV,MEDIUM,database
1844022216,Immediate Food Delivery II,immediate-food-delivery-ii,Accepted,mysql,616 ms,1764581805,Immediate Food Delivery II,MEDIUM,database
1844022031,Immediate Food Delivery II,immediate-food-delivery-ii,Runtime Error,mysql,,1764581787,Immediate Food Delivery II,MEDIUM,database
1844021957,Immediate Food Delivery II,immediate-food-delivery-ii,Accepted,mysql,611 ms,1764581780,Immediate Food Delivery II,MEDIUM,database
1842461751,Monthly Transactions I,monthly-transactions-i,Accepted,mysql,587 ms,1764420077,Monthly Transactions I,MEDIUM,database
1842448285,Queries Quality and Percentage,queries-quality-and-percentage,Accepted,mysql,321 ms,1764418604,Queries Quality and Percentage,EASY,database
1842312152,Percentage of Users Attended a Contest,percentage-of-users-attended-a-contest,Accepted,mysql,1249 ms,1764403631,Percentage of Users Attended a Contest,EASY,database
1842255173,Project Employees I,project-employees-i,Accepted,mysql,568 ms,1764397812,Project Employees I,EASY,database
1842247908,Not Boring Movies,not-boring-movies,Accepted,mysql,227 ms,1764397155,Not Boring Movies,EASY,database
1841942995,Confirmation Rate,confirmation-rate,Accepted,mysql,726 ms,1764352155,Confirmation Rate,MEDIUM,database
1840900062,Contains Duplicate,contains-duplicate,Accepted,python,24 ms,1764235425,Contains Duplicate,EASY,"array,hash-table,sorting"
1840807707,Students and Examinations,students-and-examinations,Accepted,mysql,968 ms,1764225552,Students and Examinations,EASY,database
1840796281,Employee Bonus,employee-bonus,Accepted,mysql,897 ms,1764224514,Employee Bonus,EASY,database
1840793578,Employee Bonus,employee-bonus,Wrong Answer,mysql,,1764224266,Employee Bonus,EASY,database
1840786415,Average Time of Process per Machine,average-time-of-process-per-machine,Accepted,mysql,528 ms,1764223607,Average Time of Process per Machine,EASY,database
1840785152,Average Time of Process per Machine,average-time-of-process-per-machine,Wrong Answer,mysql,,1764223487,Average Time of Process per Machine,EASY,database
1840784818,Average Time of Process per Machine,average-time-of-process-per-machine,Wrong Answer,mysql,,1764223454,Average Time of Process per Machine,EASY,database
1840051630,Rising Temperature,rising-temperature,Accepted,mysql,599 ms,1764142031,Rising Temperature,EASY,database
1840027427,Customer Who Visited but Did Not Make Any Transactions,customer-who-visited-but-did-not-make-any-transactions,Accepted,mysql,1254 ms,1764139770,Customer Who Visited but Did Not Make Any Transactions,EASY,database
1839988582,Product Sales Analysis I,product-sales-analysis-i,Accepted,mysql,1088 ms,1764136585,Product Sales Analysis I,EASY,database
1839982894,Replace Employee ID With The Unique Identifier,replace-employee-id-with-the-unique-identifier,Accepted,mysql,1282 ms,1764136055,Replace Employee ID With The Unique Identifier,EASY,database
1839964763,Article Views I,article-views-i,Accepted,mysql,388 ms,1764134353,Article Views I,EASY,database
1839956746,Find Customer Referee,find-customer-referee,Accepted,mysql,507 ms,1764133594,Find Customer Referee,EASY,database
1839951326,Recyclable and Low Fat Products,recyclable-and-low-fat-products,Accepted,mysql,475 ms,1764133086,Recyclable and Low Fat Products,EASY,database
1834882331,Rising Temperature,rising-temperature,Accepted,mysql,469 ms,1763618759,Rising Temperature,EASY,database
1834476698,Product Sales Analysis I,product-sales-analysis-i,Accepted,mysql,1177 ms,1763574192,Product Sales Analysis I,EASY,database
1834471129,Replace Employee ID With The Unique Identifier,replace-employee-id-with-the-unique-identifier,Accepted,mysql,1178 ms,1763573872,Replace Employee ID With The Unique Identifier,EASY,database
1834309061,Article Views I,article-views-i,Accepted,mysql,418 ms,1763563437,Article Views I,EASY,database
1834308752,Article Views I,article-views-i,Runtime Error,mysql,,1763563415,Article Views I,EASY,database
1834307876,Article Views I,article-views-i,Wrong Answer,mysql,,1763563350,Article Views I,EASY,database
1834306704,Article Views I,article-views-i,Runtime Error,mysql,,1763563267,Article Views I,EASY,database
1834296785,Find Customer Referee,find-customer-referee,Accepted,mysql,436 ms,1763562557,Find Customer Referee,EASY,database
1834029600,Recyclable and Low Fat Products,recyclable-and-low-fat-products,Accepted,mysql,452 ms,1763540372,Recyclable and Low Fat Products,EASY,database
1821153909,Maximum Product Subarray,maximum-product-subarray,Accepted,python,11 ms,1762319437,Maximum Product Subarray,MEDIUM,"array,dynamic-programming"
1762287368,Replace Employee ID With The Unique Identifier,replace-employee-id-with-the-unique-identifier,Accepted,mysql,3542 ms,1757223808,Replace Employee ID With The Unique Identifier,EASY,database
1762285827,Replace Employee ID With The Unique Identifier,replace-employee-id-with-the-unique-identifier,Wrong Answer,mysql,,1757223704,Replace Employee ID With The Unique Identifier,EASY,database
1762285285,Replace Employee ID With The Unique Identifier,replace-employee-id-with-the-unique-identifier,Wrong Answer,mysql,,1757223669,Replace Employee ID With The Unique Identifier,EASY,database
1762284802,Replace Employee ID With The Unique Identifier,replace-employee-id-with-the-unique-identifier,Wrong Answer,mysql,,1757223638,Replace Employee ID With The Unique Identifier,EASY,database
1762283548,Replace Employee ID With The Unique Identifier,replace-employee-id-with-the-unique-identifier,Wrong Answer,mysql,,1757223559,Replace Employee ID With The Unique Identifier,EASY,database
